n,test_used,statistic,p_value,mean_before,mean_after,mean_diff,std_diff,effect_size_dz,normality_p,metric,p_value_fdr_bh,significant_fdr_0_05
9,paired_t_test,1.4429188210041926,0.1870295466200291,0.002322222222222222,0.003711111111111111,0.001388888888888889,0.0028876653391816565,0.48097294033473076,0.10496813321916865,RVPPFA,0.6050660061248558,False
10,paired_t_test,-1.4168405682977518,0.19020087894626694,2656.4999999999995,2390.9333300000003,-265.56666999999993,592.7240979803898,-0.44804432771482516,0.30037161241379295,DMSML0,0.6050660061248558,False
3,paired_t_test,1.9414890858593015,0.19170408114846918,0.0,0.19443333333333332,0.19443333333333332,0.17345882316369304,1.1209192463495883,0.4631101874948197,DMSPEGE,0.6050660061248558,False
9,paired_t_test,1.3473102521497766,0.21479414870901503,381.77777777777777,394.3333333333333,12.555555555555555,27.95693613001571,0.4491034173832589,0.41989408257618865,RVPMDL,0.6455488940084679,False
9,paired_t_test,1.3333333333333333,0.2191383605228728,1.2222222222222223,1.8888888888888888,0.6666666666666666,1.5,0.4444444444444444,0.05569629753120369,RVPTFA,0.6455488940084679,False
10,paired_t_test,1.306733415971606,0.22370506228016213,0.047189999999999996,0.08011,0.03292,0.07966596652412009,0.41322538891225236,0.2307133201319984,DMSPEGC,0.6455488940084679,False
10,wilcoxon,16.0,0.275390625,710.94444,710.5008300000002,-0.4436100000000124,1097.0552054721377,-0.0004043643362588091,0.0010353273731737707,DMSLSSD,0.7726236979166667,False
9,paired_t_test,1.1373909489873226,0.2882916212451441,417.5741888888889,439.24404444444446,21.669855555555557,57.15674696070689,0.3791303163291075,0.29809154710950403,RVPML,0.7869582093448529,False
10,paired_t_test,1.1028219331407116,0.29871898183173057,0.7,1.2,0.5,1.4337208778404378,0.34874291623145787,0.1511062111766101,DMSTEP,0.7939636096053891,False
10,wilcoxon,17.0,0.322265625,2259.3,2241.3,-18.0,594.4809126923719,-0.030278516291597946,0.031135195581913917,DMSMDLS,0.8345853365384616,False
9,paired_t_test,1.0,0.34659350708733416,0.4444444444444444,0.7777777777777778,0.3333333333333333,1.0,0.3333333333333333,0.36442735256241976,PALMETS,0.8660442073170731,False
10,wilcoxon,10.5,0.3515625,1.5,4.8,3.3,8.069834088890689,0.40893034028331937,0.002116365208970125,PALTE8,0.8660442073170731,False
10,paired_t_test,0.9565124139094596,0.36379952925204306,1001.13844,1229.6183800000001,228.47994,755.3660564691875,0.3024757838179614,0.15946251483366053,DMSLSD,0.8748512489156274,False
10,paired_t_test,0.9370425713316364,0.37319877266032775,0.7,1.1,0.4,1.3498971154211057,0.2963188789948769,0.19774535384780995,DMSTEPAD,0.8763132192595722,False
10,paired_t_test,-0.9196159501574378,0.38176021433090274,2717.0,2560.4,-156.6,538.4994480550148,-0.2908080975117383,0.5922383452109542,DMSMDL4,0.8763132192595722,False
9,paired_t_test,-0.7832604499879574,0.45603383443320566,17.444444444444443,16.88888888888889,-0.5555555555555556,2.1278575558006176,-0.26108681666265243,0.6088076487712208,PALFAMS,1.0,False
10,wilcoxon,0.0,0.5,0.1,0.3,0.2,0.42163702135578396,0.4743416490252569,4.672333118392026e-06,RTIFESI,1.0,False
10,wilcoxon,0.0,0.5,5.2,5.0,-0.2,0.42163702135578396,-0.4743416490252569,4.672333118392026e-06,SWMPR,1.0,False
